name,município,data_avist,estado,latitude,longitude,data_revis,status
Foz do Rio São Francisco,Brejo Grande,2019-10-09,SE,-10.4944444444444,-36.4105583333333,NA,Óleo - Não Observado
Abais,Estância,2019-09-03,SE,-11.3072055555556,-37.2710333333333,2019-11-02,Oleada - Vestígios/Esparsos
Mangue,Indiaroba,2019-10-12,SE,-11.4351333333333,-37.4082305555556,2019-10-30,Oleada - Vestígios/Esparsos
Caueira,Itaporanga d'Ajuda,2019-10-03,SE,-11.2215861111111,-37.2074388888889,2019-11-02,Oleada - Vestígios/Esparsos
Coqueirinho,Itaporanga d'Ajuda,2019-10-30,SE,-11.1753611111111,-37.1659,2019-10-31,Oleada - Vestígios/Esparsos
Mangue,Itaporanga d'Ajuda,2019-10-12,SE,-11.1127777777778,-37.1671194444444,2019-10-30,Oleada - Manchas
Praia do Saco,Itaporanga d'Ajuda,2019-09-03,SE,-11.3946361111111,-37.3076972222222,2019-11-02,Oleada - Vestígios/Esparsos
Praia de Ponta dos Mangues,Pacatuba,2019-09-24,SE,-10.5772111111111,-36.585325,2019-11-02,Óleo - Não Observado
Praia do Pirambu,Pirambu,2019-09-24,SE,-10.7363527777778,-36.8461222222222,2019-11-02,Oleada - Vestígios/Esparsos
Praia do Saco,Estância,2019-11-02,SE,-11.42497,-37.31528,NA,Oleada - Vestígios/Esparsos
