name,município,data_avist,estado,latitude,longitude,data_revis,status
Cumbe,Aracati,2019-10-26,CE,-4.46694444444444,-37.7433333333333,2019-11-03,Óleo - Não Observado
Praia da Majorlândia,Aracati,2019-10-24,CE,-4.55418888888889,-37.6696611111111,2019-11-03,Óleo - Não Observado
Quixaba,Aracati,2019-10-14,CE,-4.56933888888889,-37.6562222222222,2019-11-03,Óleo - Não Observado
Praia de Bitupitá,Barroquinha,2019-10-21,CE,-2.8891,-41.2713333333333,2019-11-03,Óleo - Não Observado
Barra de Sucatinga,Beberibe,2019-09-08,CE,-4.25277777777778,-38.0075,2019-10-09,Óleo - Não Observado
Morro Branco,Beberibe,2019-09-07,CE,-4.15444444444444,-38.1088888888889,2019-11-03,Óleo - Não Observado
Caponga,Cascavel,2019-10-14,CE,-4.03675277777778,-38.1998944444444,2019-10-23,Óleo - Não Observado
Praia da Barra Nova,Cascavel,2019-10-25,CE,-4.09067222222222,-38.155875,2019-11-01,Óleo - Não Observado
Praia de Sabiaguaba,Fortaleza,2019-09-26,CE,-3.80008333333333,-38.4173583333333,2019-10-17,Oleada - Vestígios/Esparsos
Praia do Futuro,Fortaleza,2019-10-06,CE,-3.74972222222222,-38.4463805555556,NA,Oleada - Vestígios/Esparsos
Pontal de Maceió,Fortim,2019-09-28,CE,-4.42285277777778,-37.7691388888889,2019-11-02,Oleada - Manchas
Praia de Barreiras,Icapuí,2019-10-21,CE,-4.677675,-37.3946694444444,2019-11-02,Óleo - Não Observado
Malhada,Jijoca de Jericoacoara,2019-09-26,CE,-2.79055555555556,-40.5180555555556,2019-10-03,Óleo - Não Observado
Paracuru,Paracuru,2019-09-23,CE,-3.40378611111111,-39.0182833333333,2019-10-18,Oleada - Vestígios/Esparsos
Lagoinha,Paraipaba,2019-10-01,CE,-3.34694444444444,-39.1133333333333,2019-10-18,Oleada - Vestígios/Esparsos
Praia de Taíba,São Gonçalo do Amarante,2019-09-23,CE,-3.51472222222222,-38.8811111111111,2019-10-18,Óleo - Não Observado
Praia de Quitérias,Icapuí,2019-11-01,CE,-4.74681,-37.28445,2019-11-02,Óleo - Não Observado
Ilha do Livramento,Alcântara,2019-09-25,MA,-2.42063611111111,-44.4209555555556,2019-10-17,Óleo - Não Observado
Praia da Mamuna,Alcântara,2019-09-25,MA,-2.26052777777778,-44.3871111111111,2019-10-17,Óleo - Não Observado
Praia de Itatinga,Alcântara,2019-09-22,MA,-2.41294722222222,-44.3986027777778,2019-10-17,Óleo - Não Observado
