geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,latitude,longitude
2302057,Praia de Bitupitá,2302057_6,Barroquinha,Ceará,CE,2019-10-21,2019-11-14,Oleo Nao Observado,-2.88544111111111,-41.2679972222222
2802106,Praia do Saco,2802106_11,Estância,Sergipe,SE,2019-11-20,2019-11-20,Oleada - Vestigios / Esparsos,-11.3396138888889,-37.28925
2927705,Praia de Guaiu,2927705_2,Santa Cruz Cabrália,Bahia,BA,2019-11-10,2019-11-15,Oleada - Vestigios / Esparsos,-16.1057583333333,-38.955175
2925501,Praia de Japara Grande,2925501_18,Prado,Bahia,BA,2019-11-11,2019-11-11,Oleada - Vestigios / Esparsos,-17.1721138888889,-39.2136694444444
2802106,Praia do Saco,2802106_16,Estância,Sergipe,SE,2019-11-20,2019-11-20,Oleada - Vestigios / Esparsos,-11.3816055555556,-37.3066
2925501,Praia de Cumuruxatiba,2925501_15,Prado,Bahia,BA,2019-11-08,2019-11-18,Oleada - Vestigios / Esparsos,-17.0572722222222,-39.1718416666667
2802106,Dunas,2802106_17,Estância,Sergipe,SE,2019-11-15,2019-11-22,Oleada - Vestigios / Esparsos,-11.4083527777778,-37.3121777777778
2925501,Rio do peixe grande,2925501_16,Prado,Bahia,BA,2019-11-14,2019-11-19,Oleo Nao Observado,-17.0816555555556,-39.1801888888889
2802106,Praia da Boa viagem,2802106_14,Estância,Sergipe,SE,2019-11-13,2019-11-18,Oleada - Vestigios / Esparsos,-11.364025,-37.3002505555556
2802106,Praia do Saco,2802106_15,Estância,Sergipe,SE,2019-11-20,2019-11-20,Oleada - Vestigios / Esparsos,-11.3730527777778,-37.3036333333333
2927408,Praia da Paciência,2927408_19,Salvador,Bahia,BA,2019-10-17,2019-11-21,Oleo Nao Observado,-13.0117055555556,-38.5020208333333
3200607,Praia de Gramuté,3200607_25,Aracruz,Espírito Santo,ES,2019-11-19,2019-11-19,Oleada - Vestigios / Esparsos,-19.973625,-40.1379722222222
2921005,Praia de Itacimirim,2921005_16,Mata de São João,Bahia,BA,2019-11-18,2019-11-18,Oleada - Vestigios / Esparsos,-12.5904916666667,-38.0242027777778
