geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,hora,cou,latitude,longitude
2301109,Praia da Majorlândia,2301109_2,Aracati,Ceará,CE,2019-12-14,2019-12-14,Oleo Nao Observado,06:49:35,1,-4.555555555555555,-37.66886888888889
2301109,Quixaba,2301109_3,Aracati,Ceará,CE,2019-10-14,2019-12-13,Oleo Nao Observado,NA,1,-4.568429166666666,-37.65740833333333
2906907,Ilha Redonda (abrolhos),2906907_7,Caravelas,Bahia,BA,2019-11-04,2019-12-12,Oleada - Vestigios / Esparsos,NA,1,-17.968061666666664,-38.710172222222226
2301109,Cumbe,2301109_4,Aracati,Ceará,CE,2019-10-26,2019-12-09,Oleo Nao Observado,NA,1,-4.466783888888889,-37.744844444444446
2704500,Praia de Peroba,2704500_15,Maragogi,Alagoas,AL,2019-11-06,2019-11-20,Oleo Nao Observado,NA,1,-8.925905555555556,-35.15946666666667
2906907,Praia da Ponta da Baleia,2906907_8,Caravelas,Bahia,BA,2019-11-01,2019-11-29,Oleo Nao Observado,NA,1,-17.705125,-39.150932777777776
2927705,Praiade Arakakaí,2927705_11,Santa Cruz Cabrália,Bahia,BA,2019-12-11,2019-12-11,Oleo Nao Observado,NA,1,-16.19695,-38.972100000000005
2301000,Praia da Prainha,2301000_24,Aquiraz,Ceará,CE,2019-09-10,2019-11-21,Oleo Nao Observado,NA,1,-3.899338888888889,-38.348111111111116
2708709,Praia de Porto da Rua,2708709_1,São Miguel dos Milagres,Alagoas,AL,2019-10-29,2019-12-13,Oleo Nao Observado,14:29:36,1,-9.244044444444443,-35.34728055555556
2704500,Praia do Antunes,2704500_17,Maragogi,Alagoas,AL,2019-12-13,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-8.981588888888888,-35.186341666666664
2927705,Praia de Santo André,2927705_13,Santa Cruz Cabrália,Bahia,BA,2019-11-27,2019-12-14,Oleada - Vestigios / Esparsos,09:44:35,1,-16.222419444444444,-38.992577777777775
2704500,Maragogi,2704500_18,Maragogi,Alagoas,AL,2019-11-20,2019-11-20,Oleada - Vestigios / Esparsos,NA,1,-9.020441666666667,-35.22380555555556
2704500,Praia de Maragogi,2704500_11,Maragogi,Alagoas,AL,2019-11-01,2019-12-13,Oleo Nao Observado,NA,1,-9.00558611111111,-35.213705555555556
2301109,Canoa Quebrada,2301109_1,Aracati,Ceará,CE,2019-10-23,2019-12-09,Oleo Nao Observado,NA,1,-4.518801666666667,-37.708508333333334
2704500,Barra dos Coqueiros,2704500_12,Maragogi,Alagoas,AL,2019-10-20,2019-12-13,Oleo Nao Observado,NA,1,-8.966926944444445,-35.176027777777776
2906907,Praia do Grauçá,2906907_5,Caravelas,Bahia,BA,2019-11-03,2019-12-09,Oleo Nao Observado,NA,1,-17.73457888888889,-39.1858825
2704500,Rio Persinunga,2704500_13,Maragogi,Alagoas,AL,2019-10-29,2019-12-13,Oleada - Vestigios / Esparsos,NA,1,-8.911386111111112,-35.15226194444444
2906907,Ilha de Santa Bárbara,2906907_6,Caravelas,Bahia,BA,2019-11-02,2019-12-04,Oleada - Vestigios / Esparsos,NA,1,-17.96277222222222,-38.69454444444444
3205309,Praia de Camburi,3205309_8,Vitória,Espírito Santo,ES,2019-12-02,2019-12-08,Oleo Nao Observado,NA,1,-20.283555833333335,-40.288941666666666
2704500,Rio Salgado,2704500_10,Maragogi,Alagoas,AL,2019-10-21,2019-12-12,Oleo Nao Observado,NA,1,-9.062541666666668,-35.23962222222222
2905404,Praia de Tassimirim,2905404_45,Cairu,Bahia,BA,2019-11-09,2019-11-09,Oleada - Vestigios / Esparsos,NA,1,-13.580377777777777,-38.91349722222222
2301109,Canoa Quebrada,2301109_15,Aracati,Ceará,CE,2019-12-06,2019-12-14,Oleo Nao Observado,06:28:31,1,-4.524005555555555,-37.70131444444445
2205706,Praia do Coqueiro,2205706_6,Luís Correia,Piauí,PI,2019-09-30,2019-12-14,Oleo Nao Observado,10:28:16,1,-2.904297222222222,-41.572119444444446
2205706,Praia do Arrombado,2205706_7,Luís Correia,Piauí,PI,2019-09-27,2019-09-27,Oleo Nao Observado,NA,1,-2.911197222222222,-41.52218888888889
2205706,Praia de Arrombado,2205706_17,Luís Correia,Piauí,PI,2019-12-11,2019-12-14,Oleo Nao Observado,10:52:09,1,-2.9102333333333332,-41.531413888888885
2205706,Praia de Atalaia,2205706_9,Luís Correia,Piauí,PI,2019-11-15,2019-12-12,Oleo Nao Observado,NA,1,-2.8773083333333336,-41.64433888888889
2205706,Praia Peito de Moça,2205706_12,Luís Correia,Piauí,PI,2019-11-15,2019-12-12,Oleo Nao Observado,NA,1,-2.8963638888888887,-41.614447222222225
