name,município,data_avist,estado,data_revis,status,geocodigo,latitude,longitude
Praia Jóia do Atlântico,Ilhéus,2019-10-31,BA,NA,Oleada - Vestígios/Esparsos,2913606,-14.6354111111111,-39.0656805555556
Praia do Pontal,Parnaíba,2019-10-29,PI,2019-10-31,Oleada - Vestígios/Esparsos,2207702,-2.77083055555556,-41.7768527777778
Praia da Avenida,Ilhéus,2019-10-29,BA,2019-10-30,Oleada - Vestígios/Esparsos,2913606,-14.7925055555556,-39.0289027777778
Pedra do Sal,Parnaíba,2019-09-30,PI,2019-10-27,Óleo - Não Observado,2207702,-2.80688888888889,-41.7264638888889
Praia da Ponta do Ramo,Ilhéus,2019-10-29,BA,NA,Oleada - Vestígios/Esparsos,2913606,-14.5338,-39.0367083333333
Praia dos Milionários,Ilhéus,2019-10-21,BA,2019-10-27,Oleada - Vestígios/Esparsos,2913606,-14.8403722222222,-39.0252916666667
Praia Engenhoca,Itacaré,2019-10-28,BA,NA,Oleada - Manchas,2914901,-14.3536166666667,-39.0013972222222
Praia da Ribeira,Itacaré,2019-10-30,BA,2019-11-03,Óleo - Não Observado,2914901,-14.291575,-38.9830888888889
Praia de Saquaíra,Maraú,2019-10-24,BA,2019-11-03,Oleada - Vestígios/Esparsos,2920700,-14.0174694444444,-38.9442777777778
Ilha de Santo Aleixo,Sirinhaém,2019-10-19,PE,2019-10-30,Oleada - Vestígios/Esparsos,2614204,-8.61215555555555,-35.0231361111111
Panelas,Maraú,2019-10-31,BA,NA,Oleada - Vestígios/Esparsos,2920700,-13.9647111111111,-38.9344555555556
Arandi-Algodões,Maraú,2019-10-29,BA,2019-11-02,Oleada - Vestígios/Esparsos,2920700,-14.0697638888889,-38.9554444444444
Taipu de Fora,Maraú,2019-10-20,BA,2019-11-03,Oleada - Vestígios/Esparsos,2920700,-13.9384361111111,-38.9286333333333
Praia de Piracanga,Maraú,2019-10-31,BA,2019-11-02,Oleada - Vestígios/Esparsos,2920700,-14.2077777777778,-38.9912611111111
Praia de Aibim,Maraú,2019-11-04,BA,2019-11-04,Oleada - Vestígios/Esparsos,2920700,-14.1654083333333,-38.979025
Ilha Quiepe,Igrapiúna,2019-11-01,BA,NA,Oleada - Manchas,2913457,-13.837,-38.9394583333333
Barra dos Carvalhos,Nilo Peçanha,2019-10-25,BA,NA,Oleada - Vestígios/Esparsos,2922607,-13.6904722222222,-38.9657416666667
Praia de Bainema,Cairu,2019-10-25,BA,2019-11-01,Oleada - Vestígios/Esparsos,2905404,-13.6185222222222,-38.9046611111111
Moreré,Cairu,2019-11-02,BA,NA,Oleada - Vestígios/Esparsos,2905404,-13.6493111111111,-38.8922083333333
