name,município,data_avist,estado,data_revis,status,geocodigo,latitude,longitude
Rio Salgado,Maragogi,2019-10-21,AL,2019-10-29,Oleada - Vestígios/Esparsos,2704500,-9.06232222222222,-35.2399
Praia do Camacho,Maragogi,2019-10-23,AL,2019-11-04,Óleo - Não Observado,2704500,-9.03149166666667,-35.2273583333333
Praia da Peroba,Maragogi,2019-10-18,AL,2019-11-03,Óleo - Não Observado,2704500,-8.93223333333333,-35.1651861111111
Ponta do Mangue,Maragogi,2019-10-16,AL,2019-10-21,Oleada - Vestígios/Esparsos,2704500,-8.95830555555556,-35.173325
Praia do Antunes,Maragogi,2019-10-16,AL,2019-11-03,Óleo - Não Observado,2704500,-8.97507222222222,-35.1802944444444
Barra dos Coqueiros,Maragogi,2019-10-20,AL,NA,Oleada - Vestígios/Esparsos,2704500,-8.96706111111111,-35.1760666666667
Paripueira,Paripueira,2019-09-22,AL,2019-11-01,Óleo - Não Observado,2706448,-9.46112222222222,-35.5391888888889
Praia do Morro de Camaragibe,Passo de Camaragibe,2019-10-21,AL,2019-11-01,Oleada - Vestígios/Esparsos,2706505,-9.32928611111111,-35.4386222222222
Praia do Carro Quebrado,Passo de Camaragibe,2019-09-18,AL,2019-11-01,Óleo - Não Observado,2706505,-9.34156388888889,-35.4481333333333
Praia do Marceneiro,Passo de Camaragibe,2019-10-26,AL,2019-10-31,Oleada - Vestígios/Esparsos,2706505,-9.29734444444444,-35.3946111111111
Barra de Santo Antônio,Passo de Camaragibe,2019-09-22,AL,2019-10-13,Oleada - Vestígios/Esparsos,2706505,-9.34850555555555,-35.4641777777778
Praia de Porto da Rua,São Miguel dos Milagres,2019-10-29,AL,2019-11-03,Óleo - Não Observado,2708709,-9.24388333333333,-35.347133333333304
Praia de Jacumã,Conde,2019-08-30,PB,2019-11-06,Óleo - Não Observado,2504603,-7.28030833333333,-34.7995083333333
Praia de Tambaba,Conde,2019-08-30,PB,2019-11-06,Óleo - Não Observado,2504603,-7.36958888888889,-34.7987333333333
Praia do Amor,Conde,2019-09-30,PB,2019-11-05,Óleo - Não Observado,2504603,-7.27180277777778,-34.8022972222222
Praia de Gramame,Conde,2019-08-30,PB,2019-11-05,Óleo - Não Observado,2504603,-7.25378611111111,-34.8059833333333
Praia de Tabatinga,Conde,2019-10-23,PB,2019-11-03,Oleada - Vestígios/Esparsos,2504603,-7.313825,-34.8019166666667
Praia do Bessa,João Pessoa,2019-11-06,PB,2019-11-06,Oleada - Vestígios/Esparsos,2507507,-7.07065833333333,-34.8342888888889
Praia do Cabo Branco,João Pessoa,2019-09-01,PB,2019-11-03,Óleo - Não Observado,2507507,-7.14324444444444,-34.8130944444444
Praia de Tambaú,João Pessoa,2019-09-01,PB,2019-11-03,Óleo - Não Observado,2507507,-7.11040277777778,-34.8232194444444
Praia de Campina,Rio Tinto,2019-09-07,PB,2019-10-31,Óleo - Não Observado,2512903,-6.8172,-34.9136888888889
Oiteiro,Rio Tinto,2019-09-07,PB,2019-10-04,Óleo - Não Observado,2512903,-6.83537222222222,-34.9106555555556
Lagoa de Praia,Rio Tinto,2019-09-07,PB,2019-10-04,Óleo - Não Observado,2512903,-6.80806666666667,-34.9149333333333
Barra do rio Camaratuba,Mataraca,2019-09-07,PB,2019-10-31,Óleo - Não Observado,2509305,-6.59516111111111,-34.9660194444444
Praia Bela,Pitimbu,2019-08-30,PB,2019-11-06,Óleo - Não Observado,2511905,-7.39643055555556,-34.8044083333333
Praia de Intermares,Cabedelo,2019-09-01,PB,2019-11-03,Óleo - Não Observado,2503209,-7.04614722222222,-34.8408027777778
Praia de Camboinha,Cabedelo,2019-09-01,PB,2019-10-01,Óleo - Não Observado,2503209,-7.00473888888889,-34.8258361111111
Praia do Poço,Cabedelo,2019-09-01,PB,2019-10-03,Óleo - Não Observado,2503209,-7.02268055555556,-34.8296611111111
Canoa Quebrada,Aracati,2019-10-23,CE,2019-11-06,Óleo - Não Observado,2301109,-4.51866666666667,-37.7087416666667
Praia da Majorlândia,Aracati,2019-10-24,CE,2019-11-06,Óleo - Não Observado,2301109,-4.55546666666667,-37.6690305555556
Quixaba,Aracati,2019-10-14,CE,2019-11-06,Óleo - Não Observado,2301109,-4.56885555555556,-37.6569388888889
Pontal de Maceió,Aracati,2019-09-28,CE,2019-11-04,Oleada - Vestígios/Esparsos,2301109,-4.423225,-37.7655333333333
Cumbe,Aracati,2019-10-26,CE,2019-11-03,Óleo - Não Observado,2301109,-4.46678333333333,-37.7448444444444
Praia do Diogo,Beberibe,2019-11-05,CE,2019-11-05,Oleada - Vestígios/Esparsos,2302206,-4.19828888888889,-38.0615111111111
Morro Branco,Beberibe,2019-09-07,CE,2019-11-05,Óleo - Não Observado,2302206,-4.15453888888889,-38.1061805555556
Praia da Barra de Sucatinga,Beberibe,2019-11-05,CE,2019-11-05,Oleada - Vestígios/Esparsos,2302206,-4.22265277777778,-38.0383777777778
Barra do Rio Pirangi,Beberibe,2019-11-04,CE,2019-11-04,Oleada - Vestígios/Esparsos,2302206,-4.37604722222222,-37.8569
Barra de Sucatinga,Beberibe,2019-09-08,CE,2019-11-04,Óleo - Não Observado,2302206,-4.25304166666667,-38.0045166666667
Caponga,Cascavel,2019-10-14,CE,2019-11-04,Óleo - Não Observado,2303501,-4.03733888888889,-38.200075
Praia da Barra Nova,Cascavel,2019-10-25,CE,2019-11-01,Óleo - Não Observado,2303501,-4.09349722222222,-38.1546138888889
Praia de Sabiaguaba,Fortaleza,2019-09-26,CE,2019-11-04,Óleo - Não Observado,2304400,-3.80210833333333,-38.4142027777778
Praia de Barreiras,Icapuí,2019-10-21,CE,2019-11-03,Óleo - Não Observado,2305357,-4.67672777777778,-37.39905
Praia de Quitérias,Icapuí,2019-11-01,CE,2019-11-03,Óleo - Não Observado,2305357,-4.74721666666667,-37.2852444444444
Praia de Cumbuco,Caucaia,2019-11-05,CE,2019-11-05,Oleada - Vestígios/Esparsos,2303709,-3.62533055555556,-38.72835
Praia de Cumbuco,Caucaia,2019-11-06,CE,2019-11-06,Oleada - Manchas,2303709,-3.62253888888889,-38.7370944444444
Praia de Cumbuco,Caucaia,2019-11-05,CE,2019-11-05,Oleada - Manchas,2303709,-3.61380833333333,-38.7531527777778
Praia de Taíba,São Gonçalo do Amarante,2019-09-23,CE,2019-10-18,Óleo - Não Observado,2312403,-3.512975,-38.8830694444444
Paracuru,Paracuru,2019-09-23,CE,2019-10-18,Oleada - Vestígios/Esparsos,2310209,-3.40395833333333,-39.0212333333333
Praia de Almofala,Itarema,2019-11-05,CE,2019-11-05,Oleada - Vestígios/Esparsos,2306553,-2.92983611111111,-39.826425
Praia da Lama,Barroquinha,2019-09-28,CE,2019-10-24,Óleo - Não Observado,2302057,-2.93878611111111,-41.321175
Malhada,Jijoca de Jericoacoara,2019-09-26,CE,2019-10-03,Óleo - Não Observado,2307254,-2.79111944444444,-40.5184638888889
Araripe,Santa Cruz Cabrália,2019-11-01,BA,2019-11-02,Oleada - Vestígios/Esparsos,2927705,-16.1737333333333,-38.9591444444444
Baixio,Esplanada,2019-10-07,BA,2019-10-26,Oleada - Vestígios/Esparsos,2910602,-12.1314555555556,-37.7053472222222
Mamucabo,Esplanada,2019-10-07,BA,2019-10-31,Oleada - Vestígios/Esparsos,2910602,-12.17095,-37.7290555555556
Costa Azul,Jandaíra,2019-10-14,BA,NA,Oleada - Vestígios/Esparsos,2917904,-11.6783944444444,-37.4802444444444
Praia do Forte,Mata de São João,2019-10-08,BA,2019-11-03,Óleo - Não Observado,2921005,-12.5706555555556,-37.9969527777778
Imbassaí,Mata de São João,2019-10-10,BA,2019-10-31,Oleada - Vestígios/Esparsos,2921005,-12.498975,-37.9592083333333
Rio Pojuca,Mata de São João,2019-10-13,BA,2019-11-04,Oleada - Vestígios/Esparsos,2921005,-12.5973277777778,-38.0306611111111
Foz do Rio Subauma,Entre Rios,2019-10-07,BA,2019-10-31,Oleada - Vestígios/Esparsos,2910503,-12.2261972222222,-37.762425
Praia de Massarandupio,Entre Rios,2019-10-11,BA,2019-10-29,Oleada - Vestígios/Esparsos,2910503,-12.3126583333333,-37.8279444444444
Praia de Itapororoca,Porto Seguro,2019-10-31,BA,2019-11-04,Oleada - Vestígios/Esparsos,2925303,-16.5564722222222,-39.086525
Praia do Taipe (Praia do Rio da Barra),Porto Seguro,2019-11-02,BA,NA,Oleada - Vestígios/Esparsos,2925303,-16.4536194444444,-39.0624305555556
Trancoso Itapororó,Porto Seguro,2019-10-31,BA,2019-11-01,Óleo - Não Observado,2925303,-16.6179555555556,-39.0932722222222
Barra do Jacuípe,Camaçari,2019-10-22,BA,2019-11-06,Oleada - Vestígios/Esparsos,2905701,-12.7048222222222,-38.1197333333333
Praia de Jauá,Camaçari,2019-10-18,BA,2019-11-03,Oleada - Vestígios/Esparsos,2905701,-12.8273444444444,-38.2230388888889
Guarajuba,Camaçari,2019-10-09,BA,2019-11-05,Óleo - Não Observado,2905701,-12.6482555555556,-38.0613055555556
Praia de Itacimirim,Camaçari,2019-10-09,BA,2019-11-02,Oleada - Vestígios/Esparsos,2905701,-12.6286555555556,-38.0454388888889
Arembepe,Camaçari,2019-10-10,BA,2019-11-03,Óleo - Não Observado,2905701,-12.7608611111111,-38.1667027777778
Praia do Japonês,Camaçari,2019-10-21,BA,2019-11-01,Óleo - Não Observado,2905701,-12.8397,-38.23485
Praia do Pontal da Barra,Nova Viçosa,2019-11-03,BA,2019-11-05,Óleo - Não Observado,2923001,-17.8991833333333,-39.3583333333333
Praia de Guaratiba,Prado,2019-11-04,BA,2019-11-05,Óleo - Não Observado,2925501,-17.4141,-39.2014416666667
Praia da Barra (Novo Prado),Prado,2019-11-04,BA,2019-11-04,Oleada - Manchas,2925501,-17.3351722222222,-39.2178111111111
Praia de Corumbau,Prado,2019-11-01,BA,2019-11-04,Oleada - Vestígios/Esparsos,2925501,-16.9363166666667,-39.1483611111111
Praia da Barra (Praia Zeloris),Alcobaça,2019-11-06,BA,2019-11-06,Oleada - Vestígios/Esparsos,2900801,-17.6232,-39.1808444444444
Praia de Dona Dinha,Alcobaça,2019-11-06,BA,2019-11-06,Oleada - Vestígios/Esparsos,2900801,-17.6613138888889,-39.1550166666667
Praia de Alcobaça (Praia do Centro),Alcobaça,2019-11-02,BA,2019-11-04,Óleo - Não Observado,2900801,-17.5411138888889,-39.190975
Praia de Siriba,Ilhéus,2019-10-20,BA,2019-11-03,Oleada - Vestígios/Esparsos,2913606,-14.9605361111111,-39.0063166666667
Praia de São Miguel,Ilhéus,2019-10-26,BA,2019-11-04,Óleo - Não Observado,2913606,-14.7573138888889,-39.0603916666667
Praia do quartel,Ilhéus,2019-11-03,BA,NA,Oleada - Vestígios/Esparsos,2913606,-14.7829861111111,-39.0335194444444
Praia de Jairí,Ilhéus,2019-10-21,BA,2019-11-02,Oleada - Vestígios/Esparsos,2913606,-14.9783,-39.0026888888889
Acuípe,Ilhéus,2019-10-22,BA,2019-10-28,Oleada - Vestígios/Esparsos,2913606,-15.0872222222222,-38.9971611111111
Praia da Coroinha,Itacaré,2019-11-01,BA,NA,Oleada - Vestígios/Esparsos,2914901,-14.2766083333333,-38.9957611111111
Praia do Pontal,Itacaré,2019-11-01,BA,NA,Oleada - Vestígios/Esparsos,2914901,-14.270325,-38.9934472222222
Itacaré,Itacaré,2019-10-19,BA,2019-10-28,Oleada - Manchas,2914901,-14.3833055555556,-39.0101
Barra Grande,Maraú,2019-10-18,BA,2019-11-03,Oleada - Vestígios/Esparsos,2920700,-13.8811777777778,-38.94415
Ponta da Folha,Maraú,2019-10-31,BA,NA,Oleada - Vestígios/Esparsos,2920700,-14.1388194444444,-38.9753666666667
Praia do Casssange,Maraú,2019-11-01,BA,NA,Oleada - Vestígios/Esparsos,2920700,-13.9997083333333,-38.9441361111111
Ponta do Contrato,Igrapiúna,2019-10-29,BA,NA,Oleada - Manchas,2913457,-13.8120666666667,-39.0553888888889
Praia de Pratigi,Ituberá,2019-11-05,BA,2019-11-05,Oleada - Vestígios/Esparsos,2917300,-13.7815305555556,-39.0006972222222
Sirinhaém,Ituberá,2019-10-26,BA,2019-11-03,Oleada - Vestígios/Esparsos,2917300,-13.790375,-38.9981277777778
Quinta Praia (Praia do Encanto),Cairu,2019-11-05,BA,2019-11-05,Oleada - Vestígios/Esparsos,2905404,-13.4359916666667,-38.9006833333333
Morro de São Paulo (terceira praia),Cairu,2019-10-21,BA,2019-11-06,Óleo - Não Observado,2905404,-13.3811305555556,-38.9060722222222
Quarta Praia,Cairu,2019-11-06,BA,2019-11-06,Oleada - Vestígios/Esparsos,2905404,-13.4090722222222,-38.9052305555556
Quarta Praia,Cairu,2019-11-03,BA,2019-11-05,Oleada - Vestígios/Esparsos,2905404,-13.3947805555556,-38.9069722222222
Praia de Cueira,Cairu,2019-10-28,BA,2019-11-02,Oleada - Vestígios/Esparsos,2905404,-13.5955333333333,-38.9081611111111
Praia do Pontal,Cairu,2019-10-27,BA,NA,Oleada - Vestígios/Esparsos,2905404,-13.578075,-38.9281305555556
Garapuá,Cairu,2019-10-22,BA,NA,Oleada - Vestígios/Esparsos,2905404,-13.4830194444444,-38.9175194444444
Praia de Guaibim,Valença,2019-10-24,BA,2019-11-05,Oleada - Vestígios/Esparsos,2932903,-13.2859222222222,-38.9633388888889
Bom Despacho,Itaparica,2019-10-18,BA,2019-10-28,Óleo - Não Observado,2916104,-12.9076361111111,-38.6301861111111
Praia da Armação,Salvador,2019-10-24,BA,2019-11-06,Óleo - Não Observado,2927408,-12.9893833333333,-38.4355138888889
Praia dos Artistas,Salvador,2019-10-11,BA,2019-11-06,Óleo - Não Observado,2927408,-12.9742055555556,-38.4141722222222
Praia de Piatã,Salvador,2019-11-06,BA,2019-11-06,Oleada - Vestígios/Esparsos,2927408,-12.9591194444444,-38.3917527777778
Praia do Corsário,Salvador,2019-10-11,BA,2019-11-03,Oleada - Vestígios/Esparsos,2927408,-12.9691083333333,-38.4066055555556
Praia de Guaiu,Belmonte,2019-11-01,BA,2019-11-04,Oleada - Vestígios/Esparsos,2903409,-16.0844638888889,-38.9465638888889
São José da Coroa Grande,São José da Coroa Grande,2019-09-25,PE,2019-11-03,Oleada - Vestígios/Esparsos,2613404,-8.86983611111111,-35.1318444444444
Várzea do Una,São José da Coroa Grande,2019-10-28,PE,2019-11-04,Óleo - Não Observado,2613404,-8.84501666666667,-35.1364333333333
Praia do Porto,Barreiros,2019-10-29,PE,2019-11-01,Oleada - Vestígios/Esparsos,2601409,-8.81144722222222,-35.12145
Ponta das Ilhotas,Tamandaré,2019-10-18,PE,2019-11-03,Óleo - Não Observado,2614857,-8.78360277777778,-35.1039805555556
Praia da Boca da Barra,Tamandaré,2019-11-01,PE,2019-11-04,Oleada - Vestígios/Esparsos,2614857,-8.77479722222222,-35.1062472222222
Carneiros,Tamandaré,2019-09-03,PE,2019-11-02,Oleada - Vestígios/Esparsos,2614857,-8.70634722222222,-35.0792666666667
Tamandaré,Tamandaré,2019-09-07,PE,2019-10-28,Oleada - Vestígios/Esparsos,2614857,-8.76606388888889,-35.1040916666667
Ponta da Gameleira,Sirinhaém,2019-10-18,PE,2019-11-06,Oleada - Vestígios/Esparsos,2614204,-8.66998055555556,-35.0704777777778
Praia de Guaiamum,Sirinhaém,2019-11-06,PE,2019-11-06,Oleada - Vestígios/Esparsos,2614204,-8.64403888888889,-35.068125
Praia da Barra de Sirinhaém,Sirinhaém,2019-11-06,PE,2019-11-06,Oleada - Vestígios/Esparsos,2614204,-8.62764166666667,-35.0595361111111
Praia da Barra de Sirinhaém,Sirinhaém,2019-10-25,PE,2019-11-04,Óleo - Não Observado,2614204,-8.61953611111111,-35.0551777777778
Praia de Porto de Galinhas,Ipojuca,2019-11-04,PE,2019-11-04,Óleo - Não Observado,2607208,-8.50143333333333,-35.0011777777778
Praia de Muro Alto,Ipojuca,2019-11-04,PE,2019-11-04,Oleada - Vestígios/Esparsos,2607208,-8.43476666666667,-34.9782277777778
Praia do Pontal de Maracaípe,Ipojuca,2019-10-28,PE,2019-11-03,Óleo - Não Observado,2607208,-8.52673055555556,-35.0067555555556
Praia de Gamboa,Ipojuca,2019-09-02,PE,NA,Oleada - Vestígios/Esparsos,2607208,-8.47556111111111,-34.9937083333333
Praia de Muro Alto,Ipojuca,2019-10-25,PE,2019-11-02,Óleo - Não Observado,2607208,-8.41706944444444,-34.9716805555556
Praia de Cambôa,Ipojuca,2019-11-04,PE,2019-11-04,Oleada - Vestígios/Esparsos,2607208,-8.48368888888889,-34.9979888888889
Porto de Galinhas,Ipojuca,2019-09-02,PE,2019-10-31,Oleada - Vestígios/Esparsos,2607208,-8.51031388888889,-35.0009555555556
Praia de Nossa Senhora do Ó,Ipojuca,2019-09-02,PE,2019-10-28,Oleada - Vestígios/Esparsos,2607208,-8.44339444444444,-34.9814944444444
Ilha do Francês/Suape,Ipojuca,2019-10-31,PE,NA,Oleada - Vestígios/Esparsos,2607208,-8.37689722222222,-34.9578916666667
Praia do Cupe,Ipojuca,2019-10-29,PE,2019-11-04,Óleo - Não Observado,2607208,-8.45210833333333,-34.9841388888889
Praia de Itapuama,Cabo de Santo Agostinho,2019-10-24,PE,2019-11-05,Oleada - Vestígios/Esparsos,2602902,-8.29414444444444,-34.95195
Praia da Enseada dos Corais,Cabo de Santo Agostinho,2019-10-24,PE,2019-11-05,Óleo - Não Observado,2602902,-8.31688888888889,-34.9480916666667
Praia de Gaibu,Cabo de Santo Agostinho,2019-10-24,PE,2019-11-05,Oleada - Vestígios/Esparsos,2602902,-8.33467222222222,-34.9492277777778
Praia do Paiva,Cabo de Santo Agostinho,2019-09-04,PE,2019-11-05,Oleada - Vestígios/Esparsos,2602902,-8.25905277777778,-34.9434444444444
Suape,Cabo de Santo Agostinho,2019-09-02,PE,2019-11-03,Oleada - Vestígios/Esparsos,2602902,-8.36125555555556,-34.9588527777778
Praia da Barra da Jangada,Jaboatão dos Guararapes,2019-11-04,PE,2019-11-04,Oleada - Vestígios/Esparsos,2607901,-8.22099444444444,-34.9229666666667
Barra da Jangada,Jaboatão dos Guararapes,2019-10-24,PE,2019-10-31,Óleo - Não Observado,2607901,-8.21298333333333,-34.9187111111111
Piedade,Jaboatão dos Guararapes,2019-09-03,PE,2019-11-02,Óleo - Não Observado,2607901,-8.17771666666667,-34.9160083333333
Candeias,Jaboatão dos Guararapes,2019-09-03,PE,2019-10-30,Oleada - Vestígios/Esparsos,2607901,-8.19539722222222,-34.9175861111111
Boa Viagem,Recife,2019-09-03,PE,2019-11-02,Óleo - Não Observado,2611606,-8.14326111111111,-34.9039527777778
Praia de Quatro Cantos,Ilha de Itamaracá,2019-10-25,PE,2019-10-31,Óleo - Não Observado,2607604,-7.74168888888889,-34.8238111111111
Pontal do Jaguaribe,Ilha de Itamaracá,2019-10-25,PE,2019-10-31,Óleo - Não Observado,2607604,-7.72517777777778,-34.8283527777778
Praia de Jaguaribe,Ilha de Itamaracá,2019-10-24,PE,2019-11-05,Óleo - Não Observado,2607604,-7.73260277777778,-34.8251527777778
Praia do Sossego,Ilha de Itamaracá,2019-10-28,PE,2019-11-05,Óleo - Não Observado,2607604,-7.70905277777778,-34.8333722222222
Praia Ponta de Pedras,Goiana,2019-09-07,PE,2019-11-04,Óleo - Não Observado,2606200,-7.63304444444444,-34.8116833333333
Praia de Dell Chifre,Olinda,2019-09-02,PE,2019-10-27,Óleo - Não Observado,2609600,-8.02765277777778,-34.8580111111111
Praia do Janga,Paulista,2019-09-02,PE,2019-11-04,Óleo - Não Observado,2610707,-7.92811666666667,-34.8205944444444
Conceição,Paulista,2019-09-02,PE,2019-10-30,Oleada - Vestígios/Esparsos,2610707,-7.87603055555556,-34.8312416666667
Maria Farinha,Paulista,2019-09-02,PE,2019-10-31,Óleo - Não Observado,2610707,-7.85826666666667,-34.8345833333333
Pau Amarelo,Paulista,2019-09-02,PE,2019-11-05,Óleo - Não Observado,2610707,-7.93705833333333,-34.8228583333333
Nossa Senhora do Ó,Paulista,2019-10-27,PE,NA,Oleada - Vestígios/Esparsos,2610707,-7.8923,-34.8235305555556
Sagi,Baía Formosa,2019-09-07,RN,2019-11-04,Oleada - Vestígios/Esparsos,2401404,-6.46699166666667,-34.9715055555556
Praia do Pontal,Baía Formosa,2019-10-27,RN,NA,Oleada - Vestígios/Esparsos,2401404,-6.32128055555556,-35.0344944444444
Foz do Rio Catu,Canguaretama,2019-09-12,RN,2019-11-05,Oleada - Vestígios/Esparsos,2402204,-6.28927777777778,-35.0345638888889
Barra do Cunhaú,Canguaretama,2019-09-10,RN,2019-11-04,Óleo - Não Observado,2402204,-6.29826388888889,-35.0331611111111
Pirambúzios,Nísia Floresta,2019-09-10,RN,2019-11-06,Óleo - Não Observado,2408201,-5.99260555555556,-35.1128611111111
Praia de Malembá,Nísia Floresta,2019-11-05,RN,2019-11-05,Oleada - Vestígios/Esparsos,2408201,-6.14023888888889,-35.0984638888889
Praia de Barreta,Nísia Floresta,2019-11-03,RN,2019-11-06,Oleada - Vestígios/Esparsos,2408201,-6.11296111111111,-35.1000416666667
Camurupim,Nísia Floresta,2019-09-10,RN,2019-11-05,Óleo - Não Observado,2408201,-6.07744166666667,-35.1006194444444
Praia de Barra de Tabatinga,Nísia Floresta,2019-11-05,RN,2019-11-05,Oleada - Vestígios/Esparsos,2408201,-6.05611944444444,-35.100225
Praia de Búzios,Nísia Floresta,2019-11-05,RN,2019-11-05,Oleada - Vestígios/Esparsos,2408201,-6.02575,-35.10965
Praia de Búzios,Nísia Floresta,2019-09-11,RN,2019-11-06,Óleo - Não Observado,2408201,-6.01670555555556,-35.108175
Pirangi do Sul,Nísia Floresta,2019-09-11,RN,2019-11-03,Oleada - Vestígios/Esparsos,2408201,-5.98539722222222,-35.1171
Barreta,Nísia Floresta,2019-09-10,RN,2019-11-05,Óleo - Não Observado,2408201,-6.12190833333333,-35.0988361111111
Barra de Tabatinga,Nísia Floresta,2019-09-10,RN,2019-11-05,Óleo - Não Observado,2408201,-6.06123611111111,-35.0973138888889
Ponta da Ilha Verde,Nísia Floresta,2019-09-12,RN,2019-10-26,Oleada - Vestígios/Esparsos,2408201,-6.00850277777778,-35.1062972222222
Jenipabu,Extremoz,2019-09-20,RN,2019-11-06,Óleo - Não Observado,2403608,-5.69284166666667,-35.2061777777778
Barra do Rio,Extremoz,2019-09-20,RN,2019-11-06,Óleo - Não Observado,2403608,-5.67756666666667,-35.2164055555556
Praia de Pitangui,Extremoz,2019-10-22,RN,2019-11-05,Óleo - Não Observado,2403608,-5.61879722222222,-35.2272638888889
Praia de Santa Rita,Extremoz,2019-09-20,RN,2019-11-05,Óleo - Não Observado,2403608,-5.70045833333333,-35.1938916666667
Praia de Graçandu,Extremoz,2019-10-28,RN,NA,Oleada - Vestígios/Esparsos,2403608,-5.651,-35.2176388888889
Praia de Rendinha Nova,Extremoz,2019-10-23,RN,2019-10-28,Oleada - Vestígios/Esparsos,2403608,-5.71706666666667,-35.2000638888889
Praia de Porto Mirim,Ceará-Mirim,2019-10-27,RN,2019-11-06,Óleo - Não Observado,2402600,-5.56428333333333,-35.2390138888889
Jacumã,Ceará-Mirim,2019-09-11,RN,2019-11-05,Óleo - Não Observado,2402600,-5.58308611111111,-35.2265277777778
Praia de Caraúbas,Maxaranguape,2019-09-15,RN,2019-11-06,Óleo - Não Observado,2407500,-5.46100833333333,-35.2877944444444
Ponta de Maracajaú,Maxaranguape,2019-09-17,RN,2019-11-03,Óleo - Não Observado,2407500,-5.427625,-35.2960805555556
Cabo de São Roque,Maxaranguape,2019-09-14,RN,2019-11-05,Óleo - Não Observado,2407500,-5.48967222222222,-35.2606222222222
Praia de Barra de Maxaranguape,Maxaranguape,2019-10-21,RN,2019-11-03,Óleo - Não Observado,2407500,-5.51590833333333,-35.2576222222222
Maracajaú,Maxaranguape,2019-09-10,RN,2019-10-29,Óleo - Não Observado,2407500,-5.40811111111111,-35.3111611111111
Muriú,Maxaranguape,2019-09-12,RN,2019-11-03,Óleo - Não Observado,2407500,-5.52062777777778,-35.2512416666667
Praia de Zumbi,Rio do Fogo,2019-09-11,RN,2019-11-06,Oleada - Vestígios/Esparsos,2408953,-5.31976944444444,-35.3634916666667
Rio Punaú,Rio do Fogo,2019-09-11,RN,2019-10-09,Oleada - Vestígios/Esparsos,2408953,-5.34667777777778,-35.3592111111111
Praia Carnaubinhas,Touros,2019-10-21,RN,2019-11-05,Óleo - Não Observado,2414407,-5.20171666666667,-35.4514888888889
Perobas,Touros,2019-09-11,RN,2019-11-06,Óleo - Não Observado,2414407,-5.25493888888889,-35.3909555555556
Praia de Touros,Touros,2019-09-14,RN,2019-11-03,Óleo - Não Observado,2414407,-5.19058333333333,-35.4633694444444
Praia do Calcanhar,Touros,2019-09-14,RN,2019-10-27,Óleo - Não Observado,2414407,-5.16250555555556,-35.485025
Cotolelo,Parnamirim,2019-09-11,RN,2019-11-05,Óleo - Não Observado,2403251,-5.96202222222222,-35.1476833333333
Pirangi do Norte,Parnamirim,2019-09-11,RN,2019-11-06,Oleada - Vestígios/Esparsos,2403251,-5.97240277777778,-35.126625
Foz do Rio Pirangi/Pium,Parnamirim,2019-09-11,RN,2019-11-06,Oleada - Vestígios/Esparsos,2403251,-5.98056388888889,-35.1223333333333
Barreira do Inferno,Parnamirim,2019-09-11,RN,2019-09-23,Óleo - Não Observado,2403251,-5.93571388888889,-35.1544861111111
Praia do Giz,Tibau do Sul,2019-09-10,RN,2019-11-05,Oleada - Vestígios/Esparsos,2414209,-6.185325,-35.0888194444444
Praia do Madeiro,Tibau do Sul,2019-10-28,RN,2019-11-05,Oleada - Vestígios/Esparsos,2414209,-6.22281944444444,-35.0672083333333
Praia de Cacimbinhas,Tibau do Sul,2019-10-24,RN,2019-10-28,Oleada - Vestígios/Esparsos,2414209,-6.20303333333333,-35.0812694444444
Sibaúma/Das Minas,Tibau do Sul,2019-09-11,RN,2019-11-04,Oleada - Vestígios/Esparsos,2414209,-6.26326666666667,-35.0379944444444
Pipa,Tibau do Sul,2019-09-10,RN,2019-11-04,Óleo - Não Observado,2414209,-6.22802222222222,-35.0511611111111
Pirambu,Tibau do Sul,2019-09-10,RN,2019-10-02,Oleada - Vestígios/Esparsos,2414209,-6.19074444444444,-35.0844722222222
Praia do Amor,Tibau do Sul,2019-09-10,RN,2019-10-27,Oleada - Vestígios/Esparsos,2414209,-6.22874166666667,-35.0428333333333
Praia de Malembá,Senador Georgino Avelino,2019-11-01,RN,2019-11-05,Óleo - Não Observado,2413201,-6.17602777777778,-35.0961944444444
Lagoa Guaraíras,Senador Georgino Avelino,2019-10-30,RN,2019-11-05,Óleo - Não Observado,2413201,-6.18091388888889,-35.0926277777778
Praia do Gado Bravo,Tibau,2019-10-25,RN,2019-10-29,Oleada - Vestígios/Esparsos,2411056,-4.87942777777778,-37.2239222222222
Praia do Forte,Natal,2019-09-17,RN,2019-11-06,Óleo - Não Observado,2408102,-5.766225,-35.1948361111111
Redinha,Natal,2019-09-20,RN,2019-11-06,Óleo - Não Observado,2408102,-5.75245277777778,-35.2011861111111
