geocodigo,localidade,loc_id,municipio,estado,sigla_uf,data_avist,data_revis,status,latitude,longitude
2905404,Praia de Bainema,2905404_27,Cairu,Bahia,BA,2019-10-25,2019-11-01,Oleada - Vestígios/Esparsos,-13.6185222222222,-38.9046611111111
2905404,Praia da Ponta dos Castelhanos,2905404_26,Cairu,Bahia,BA,2019-10-31,NA,Oleada - Vestígios/Esparsos,-13.6605972222222,-38.8956833333333
2408201,Praia de Búzios,2408201_12,Nísia Floresta,Rio Grande do Norte,RN,2019-11-05,2019-11-10,Oleada - Vestígios/Esparsos,-6.02575,-35.10965
2905404,Praia de Moreré,2905404_29,Cairu,Bahia,BA,2019-10-28,2019-11-11,Óleo - Não Observado,-13.5933611111111,-38.9010888888889
2910503,Porto do Sauipe - Cond. Águas de Sauipe,2910503_21,Entre Rios,Bahia,BA,2019-11-08,2019-11-08,Oleada - Manchas,-12.3657388888889,-37.8641805555556
2905404,Moreré,2905404_28,Cairu,Bahia,BA,2019-11-02,NA,Oleada - Vestígios/Esparsos,-13.6493111111111,-38.8922083333333
2910503,Praia de Massarandupio,2910503_1,Entre Rios,Bahia,BA,2019-10-11,2019-10-29,Oleada - Vestígios/Esparsos,-12.3126583333333,-37.8279444444444
2910503,PORTO SAUIPE,2910503_22,Entre Rios,Bahia,BA,2019-11-07,2019-11-07,Oleada - Vestígios/Esparsos,-12.3733638888889,-37.8693055555556
2910503,Foz do Rio Subauma,2910503_2,Entre Rios,Bahia,BA,2019-10-07,2019-11-10,Oleada - Vestígios/Esparsos,-12.2261972222222,-37.762425
2614204,Ilha de Santo Aleixo,2614204_13,Sirinhaém,Pernambuco,PE,2019-10-19,2019-10-30,Oleada - Vestígios/Esparsos,-8.61215555555555,-35.0231361111111
3204906,Praia de Urussuquara,3204906_40,São Mateus,Espírito Santo,ES,2019-11-10,2019-11-10,Oleada - Vestígios/Esparsos,-19.072325,-39.7224166666667
2103703,Ilha Caçacueira,2103703_1,Cururupu,Maranhão,MA,2019-10-10,2019-11-02,Óleo - Não Observado,-1.48120833333333,-44.7459833333333
2304459,Pontal de Maceió,2304459_1,Fortim,Ceará,CE,2019-09-28,2019-11-08,Óleo - Não Observado,-4.423225,-37.7655333333333
2706505,Praia do Marceneiro,2706505_3,Passo de Camaragibe,Alagoas,AL,2019-10-26,2019-11-10,Oleada - Vestígios/Esparsos,-9.29734444444444,-35.3946111111111
2905404,Terceira Praia,2905404_11,Cairu,Bahia,BA,2019-11-07,2019-11-07,Oleada - Vestígios/Esparsos,-13.3860416666667,-38.9051972222222
2800605,Praia de Jatobá,2800605_17,Barra dos Coqueiros,Sergipe,SE,2019-11-11,2019-11-11,Oleada - Manchas,-10.8311833333333,-36.9369138888889
2706505,Praia do Morro de Camaragibe,2706505_2,Passo de Camaragibe,Alagoas,AL,2019-10-21,2019-11-01,Oleada - Vestígios/Esparsos,-9.32928611111111,-35.4386222222222
2706505,Praia do Carro Quebrado,2706505_1,Passo de Camaragibe,Alagoas,AL,2019-09-18,2019-11-01,Óleo - Não Observado,-9.34156388888889,-35.4481333333333
2905404,Quarta Praia,2905404_13,Cairu,Bahia,BA,2019-11-06,2019-11-09,Oleada - Vestígios/Esparsos,-13.4090722222222,-38.9052305555556
2609600,Praia de Dell Chifre,2609600_1,Olinda,Pernambuco,PE,2019-09-02,2019-10-27,Óleo - Não Observado,-8.02765277777778,-34.8580111111111
2100204,Praia de Itatinga,2100204_3,Alcântara,Maranhão,MA,2019-09-22,2019-10-17,Óleo - Não Observado,-2.41185,-44.3943305555556
2800308,Praia dos Artistas,2800308_6,Aracaju,Sergipe,SE,2019-10-29,2019-11-10,Oleada - Vestígios/Esparsos,-10.9738916666667,-37.0315305555556
2800308,Mosqueiro,2800308_5,Aracaju,Sergipe,SE,2019-10-16,2019-11-06,Oleada - Vestígios/Esparsos,-11.0460694444444,-37.0883972222222
2800308,Praia dos Náufragos,2800308_8,Aracaju,Sergipe,SE,2019-10-29,2019-11-10,Óleo - Não Observado,-11.1319888888889,-37.1418111111111
2800308,Viral,2800308_7,Aracaju,Sergipe,SE,2019-10-20,2019-11-09,Oleada - Vestígios/Esparsos,-11.1344777777778,-37.1559472222222
2800308,Praia de Coroa do Meio,2800308_2,Aracaju,Sergipe,SE,2019-10-16,2019-11-11,Óleo - Não Observado,-10.9660694444444,-37.030575
2100204,Ilha do Livramento,2100204_2,Alcântara,Maranhão,MA,2019-09-25,2019-10-17,Óleo - Não Observado,-2.41785,-44.4224361111111
2800308,Praia Atalaia Nova,2800308_1,Aracaju,Sergipe,SE,2019-10-21,2019-11-08,Oleada - Manchas,-10.9240666666667,-37.0447944444444
2100204,Praia da Mamuna,2100204_1,Alcântara,Maranhão,MA,2019-09-25,2019-11-06,Óleo - Não Observado,-2.262425,-44.3858444444444
2800308,Tecarmo,2800308_4,Aracaju,Sergipe,SE,2019-11-03,2019-11-03,Oleada - Vestígios/Esparsos,-11.0156444444444,-37.0675611111111
2703759,Lagoa Azeda,2703759_1,Jequiá da Praia,Alagoas,AL,2019-10-22,2019-11-07,Oleada - Vestígios/Esparsos,-9.97488055555556,-35.9815666666667
2800308,Praia de Aruanã,2800308_3,Aracaju,Sergipe,SE,2019-10-15,2019-11-08,Oleada - Vestígios/Esparsos,-11.1075861111111,-37.1290527777778
2917904,Jandaíra,2917904_5,Jandaíra,Bahia,BA,2019-10-04,2019-10-05,Oleada - Manchas,-11.5648555555556,-37.4232666666667
2407500,Cabo de São Roque,2407500_1,Maxaranguape,Rio Grande do Norte,RN,2019-09-14,2019-11-05,Óleo - Não Observado,-5.48967222222222,-35.2606222222222
2917904,Costa Azul,2917904_1,Jandaíra,Bahia,BA,2019-10-14,NA,Oleada - Vestígios/Esparsos,-11.6783944444444,-37.4802444444444
2800308,Atalaia,2800308_9,Aracaju,Sergipe,SE,2019-10-02,2019-11-09,Óleo - Não Observado,-10.98185,-37.0368361111111
2407500,Muriú,2407500_6,Maxaranguape,Rio Grande do Norte,RN,2019-09-12,2019-11-03,Óleo - Não Observado,-5.52062777777778,-35.2512416666667
2703601,Praia do Boqueirão,2703601_11,Japaratinga,Alagoas,AL,2019-11-05,2019-11-09,Oleada - Vestígios/Esparsos,-9.13232777777778,-35.2842222222222
2703601,Praia de Bitingui,2703601_10,Japaratinga,Alagoas,AL,2019-11-06,2019-11-06,Oleada - Manchas,-9.12283888888889,-35.2711166666667
2407500,Ponta de Maracajaú,2407500_3,Maxaranguape,Rio Grande do Norte,RN,2019-09-17,2019-11-03,Óleo - Não Observado,-5.427625,-35.2960805555556
2407500,Praia de Caraúbas,2407500_2,Maxaranguape,Rio Grande do Norte,RN,2019-09-15,2019-11-11,Óleo - Não Observado,-5.46100833333333,-35.2877944444444
2407500,Praia de Barra de Maxaranguape,2407500_5,Maxaranguape,Rio Grande do Norte,RN,2019-10-21,2019-11-11,Óleo - Não Observado,-5.51590833333333,-35.2576222222222
2304400,Praia de Sabiaguaba,2304400_26,Fortaleza,Ceará,CE,2019-11-09,2019-11-11,Óleo - Não Observado,-3.77100833333333,-38.4338666666667
2606200,Praia Ponta de Pedras,2606200_1,Goiana,Pernambuco,PE,2019-09-07,2019-11-07,Óleo - Não Observado,-7.63304444444444,-34.8116833333333
2407500,Maracajaú,2407500_4,Maxaranguape,Rio Grande do Norte,RN,2019-09-10,2019-11-11,Óleo - Não Observado,-5.40811111111111,-35.3111611111111
2614204,Praia de Guaiamum,2614204_8,Sirinhaém,Pernambuco,PE,2019-11-06,2019-11-06,Oleada - Vestígios/Esparsos,-8.64403888888889,-35.068125
2504603,Praia de Tabatinga,2504603_4,Conde,Paraíba,PB,2019-10-23,2019-11-11,Óleo - Não Observado,-7.313825,-34.8019166666667
2913606,Praia do Marciano,2913606_56,Ilhéus,Bahia,BA,2019-11-07,2019-11-10,Oleada - Vestígios/Esparsos,-14.7804833333333,-39.0467916666667
2100907,Ilha dos Poldros,2100907_24,Araioses,Maranhão,MA,2019-09-20,2019-11-10,Óleo - Não Observado,-2.73815277777778,-41.7949333333333
2100907,Ilha dos Poldros,2100907_23,Araioses,Maranhão,MA,2019-09-16,2019-11-10,Óleo - Não Observado,-2.72321111111111,-41.8550805555556
2802106,Boa Viagem,2802106_10,Estância,Sergipe,SE,2019-11-10,2019-11-11,Oleada - Vestígios/Esparsos,-11.3232277777778,-37.2809111111111
2802106,Praia do Abaís,2802106_13,Estância,Sergipe,SE,2019-11-10,2019-11-10,Oleada - Vestígios/Esparsos,-11.3560638888889,-37.2968777777778
2511905,Praia Bela,2511905_2,Pitimbu,Paraíba,PB,2019-08-30,2019-11-08,Óleo - Não Observado,-7.39643055555556,-34.8044083333333
2802106,Praia do Saco,2802106_12,Estância,Sergipe,SE,2019-11-07,2019-11-07,Oleada - Vestígios/Esparsos,-11.3477305555556,-37.2930888888889
2511905,Praia de Tambaba,2511905_1,Pitimbu,Paraíba,PB,2019-08-30,2019-11-11,Óleo - Não Observado,-7.36958888888889,-34.7987333333333
2607208,Praia de Porto de Galinhas,2607208_4,Ipojuca,Pernambuco,PE,2019-11-04,2019-11-10,Óleo - Não Observado,-8.50143333333333,-35.0011777777778
2906303,Praia do Puxim,2906303_16,Canavieiras,Bahia,BA,2019-11-09,2019-11-11,Oleada - Vestígios/Esparsos,-15.4733472222222,-38.9533333333333
2925501,Praia do Quati,2925501_77,Prado,Bahia,BA,2019-11-10,2019-11-10,Oleada - Vestígios/Esparsos,-17.4403722222222,-39.1928027777778
2607208,Praia de Muro Alto,2607208_3,Ipojuca,Pernambuco,PE,2019-11-04,2019-11-04,Oleada - Vestígios/Esparsos,-8.43476666666667,-34.9782277777778
2802106,Praia do Saco,2802106_19,Estância,Sergipe,SE,2019-11-11,2019-11-11,Oleada - Vestígios/Esparsos,-11.4294333333333,-37.3248
2607208,Praia de Cambôa,2607208_6,Ipojuca,Pernambuco,PE,2019-11-04,2019-11-09,Oleada - Vestígios/Esparsos,-8.48368888888889,-34.9979888888889
2607208,Porto de Galinhas,2607208_5,Ipojuca,Pernambuco,PE,2019-09-02,2019-10-31,Oleada - Vestígios/Esparsos,-8.51031388888889,-35.0009555555556
2925501,Praia de Guaratiba,2925501_76,Prado,Bahia,BA,2019-11-09,2019-11-09,Oleada - Vestígios/Esparsos,-17.4227111111111,-39.1980916666667
2607208,Praia do Pontal de Maracaípe,2607208_2,Ipojuca,Pernambuco,PE,2019-10-28,2019-11-10,Óleo - Não Observado,-8.52673055555556,-35.0067555555556
2607208,Praia de Gamboa,2607208_1,Ipojuca,Pernambuco,PE,2019-09-02,NA,Oleada - Vestígios/Esparsos,-8.47556111111111,-34.9937083333333
2702306,"Miai de cima, miai de baixo - Coruripe e praia do Toco - feliz deserto",2702306_31,Coruripe,Alagoas,AL,2019-11-07,2019-11-07,Oleada - Vestígios/Esparsos,-10.2300222222222,-36.2250444444444
2408201,Ponta da Ilha Verde,2408201_22,Nísia Floresta,Rio Grande do Norte,RN,2019-09-12,2019-11-08,Óleo - Não Observado,-6.00850277777778,-35.1062972222222
2917300,Praia de Pratigi,2917300_7,Ituberá,Bahia,BA,2019-11-05,2019-11-09,Oleada - Vestígios/Esparsos,-13.7815305555556,-39.0006972222222
2205706,Atalaia,2205706_3,Luís Correia,Piauí,PI,2019-09-30,2019-11-06,Óleo - Não Observado,-2.88331111111111,-41.6378888888889
2408201,Praia de Malembá,2408201_21,Nísia Floresta,Rio Grande do Norte,RN,2019-11-10,2019-11-10,Oleada - Vestígios/Esparsos,-6.13106388888889,-35.0981
2917300,Sirinhaém,2917300_1,Ituberá,Bahia,BA,2019-10-26,2019-11-03,Oleada - Vestígios/Esparsos,-13.790375,-38.9981277777778
2205706,Praia Peito de Moça,2205706_5,Luís Correia,Piauí,PI,2019-09-30,NA,Óleo - Não Observado,-2.904,-41.5979277777778
2932507,Ilha de Comandatuba (Barra Norte e Barra Sul),2932507_29,Una,Bahia,BA,2019-11-06,2019-11-10,Óleo - Não Observado,-15.3500222222222,-38.9801055555556
2205706,Luís Correia,2205706_4,Luís Correia,Piauí,PI,2019-09-30,2019-11-09,Óleo - Não Observado,-2.90038888888889,-41.6063416666667
2917300,Ponta do Contrato,2917300_2,Ituberá,Bahia,BA,2019-10-29,NA,Oleada - Manchas,-13.8120666666667,-39.0553888888889
2913606,Praia Jóia do Atlântico,2913606_46,Ilhéus,Bahia,BA,2019-10-31,NA,Oleada - Vestígios/Esparsos,-14.6311222222222,-39.0631277777778
2509305,Barra do rio Camaratuba,2509305_1,Mataraca,Paraíba,PB,2019-09-07,2019-11-09,Óleo - Não Observado,-6.59516111111111,-34.9660194444444
2300754,Praia de Icarai de Amontada,2300754_13,Amontada,Ceará,CE,2019-11-10,2019-11-10,Oleada - Vestígios/Esparsos,-3.02180833333333,-39.6445777777778
2913606,Praia de Barramares,2913606_45,Ilhéus,Bahia,BA,2019-11-09,2019-11-09,Oleada - Vestígios/Esparsos,-14.6213083333333,-39.061425
2414209,Praia das Minas,2414209_14,Tibau do Sul,Rio Grande do Norte,RN,2019-11-11,2019-11-11,Oleada - Vestígios/Esparsos,-6.24483055555556,-35.0372555555556
3204906,Guriri,3204906_11,São Mateus,Espírito Santo,ES,2019-11-07,2019-11-07,Oleada - Vestígios/Esparsos,-18.7336611111111,-39.7469944444444
2702306,Pontal do Coruripe,2702306_37,Coruripe,Alagoas,AL,2019-09-27,2019-11-09,Oleada - Vestígios/Esparsos,-10.1616555555556,-36.1346805555556
2917300,Praia de Pratigi,2917300_8,Ituberá,Bahia,BA,2019-11-09,2019-11-09,Oleada - Vestígios/Esparsos,-13.7992222222222,-38.9957527777778
2205706,Praia do Arrombado,2205706_7,Luís Correia,Piauí,PI,2019-09-27,2019-09-27,Óleo - Não Observado,-2.91119722222222,-41.5221888888889
2205706,Praia do Coqueiro,2205706_6,Luís Correia,Piauí,PI,2019-09-30,2019-11-06,Óleo - Não Observado,-2.90348055555556,-41.5719944444444
2800308,Praia do Mosqueiro,2800308_24,Aracaju,Sergipe,SE,2019-11-08,2019-11-10,Oleada - Vestígios/Esparsos,-11.1155916666667,-37.1336083333333
2805307,Praia do Pirambu,2805307_1,Pirambu,Sergipe,SE,2019-09-24,2019-11-07,Óleo - Não Observado,-10.7385361111111,-36.8476138888889
2800308,Molhes da praia da Coroa do Meio,2800308_23,Aracaju,Sergipe,SE,2019-11-07,2019-11-07,Oleada - Manchas,-11.0996777777778,-37.1243361111111
3204906,Praia de Guriri,3204906_10,São Mateus,Espírito Santo,ES,2019-11-09,2019-11-10,Oleada - Vestígios/Esparsos,-18.7244555555556,-39.7471
2303501,Caponga,2303501_1,Cascavel,Ceará,CE,2019-10-14,2019-11-04,Óleo - Não Observado,-4.03733888888889,-38.200075
2906303,Praia da Costa,2906303_4,Canavieiras,Bahia,BA,2019-11-05,2019-11-10,Oleada - Vestígios/Esparsos,-15.705425,-38.925475
2804904,Pontas dos Mangues,2804904_13,Pacatuba,Sergipe,SE,2019-11-07,2019-11-10,Oleada - Vestígios/Esparsos,-10.5809916666667,-36.6018833333333
2800704,Ilha da Costinha,2800704_8,Brejo Grande,Sergipe,SE,2019-11-05,2019-11-05,Oleada - Vestígios/Esparsos,-10.5188916666667,-36.4400555555556
2303501,Praia da Barra Nova,2303501_2,Cascavel,Ceará,CE,2019-10-25,2019-11-01,Óleo - Não Observado,-4.09349722222222,-38.1546138888889
2800605,Praia Atalaia Nova,2800605_26,Barra dos Coqueiros,Sergipe,SE,2019-11-11,2019-11-11,Oleada - Vestígios/Esparsos,-10.9177722222222,-37.0055083333333
2800308,Praia de Aruanã,2800308_22,Aracaju,Sergipe,SE,2019-11-08,2019-11-08,Oleada - Vestígios/Esparsos,-11.0919388888889,-37.1193638888889
2800704,Foz do Rio São Francisco,2800704_1,Brejo Grande,Sergipe,SE,2019-10-09,2019-11-10,Óleo - Não Observado,-10.4919472222222,-36.4113194444444
2403608,Praia de Santa Rita,2403608_2,Extremoz,Rio Grande do Norte,RN,2019-09-20,2019-11-05,Óleo - Não Observado,-5.70045833333333,-35.1938916666667
2403608,Jenipabu,2403608_1,Extremoz,Rio Grande do Norte,RN,2019-09-20,2019-11-08,Óleo - Não Observado,-5.69284166666667,-35.2061777777778
2403608,Barra do Rio,2403608_4,Extremoz,Rio Grande do Norte,RN,2019-09-20,2019-11-11,Óleo - Não Observado,-5.67756666666667,-35.2164055555556
2925501,Praia do Centro,2925501_20,Prado,Bahia,BA,2019-11-09,2019-11-11,Oleada - Vestígios/Esparsos,-17.3441666666667,-39.215825
2602902,Praia do Paiva,2602902_17,Cabo de Santo Agostinho,Pernambuco,PE,2019-11-10,2019-11-10,Oleada - Vestígios/Esparsos,-8.35924444444444,-34.9498944444444
2913457,Praia do Contrato,2913457_8,Igrapiúna,Bahia,BA,2019-11-06,2019-11-06,Oleada - Vestígios/Esparsos,-13.8457722222222,-39.0368138888889
2403608,Praia de Pitangui,2403608_3,Extremoz,Rio Grande do Norte,RN,2019-10-22,2019-11-05,Óleo - Não Observado,-5.61879722222222,-35.2272638888889
2614204,Praia da Barra de Sirinhaém,2614204_6,Sirinhaém,Pernambuco,PE,2019-11-06,2019-11-10,Oleada - Vestígios/Esparsos,-8.62764166666667,-35.0595361111111
2800308,Ilha dos Namorados,2800308_27,Aracaju,Sergipe,SE,2019-11-05,2019-11-05,Oleada - Manchas,-11.1502055555556,-37.1587472222222
2302057,Praia de Bitupitá,2302057_6,Barroquinha,Ceará,CE,2019-10-21,2019-11-03,Óleo - Não Observado,-2.88732777777778,-41.2694666666667
2913457,Barra Grande,2913457_1,Igrapiúna,Bahia,BA,2019-10-18,2019-11-10,Oleada - Vestígios/Esparsos,-13.8811777777778,-38.94415
2614204,Ponta da Gameleira,2614204_2,Sirinhaém,Pernambuco,PE,2019-10-18,2019-11-08,Oleada - Vestígios/Esparsos,-8.66998055555556,-35.0704777777778
2800605,Barra dos Coqueiros,2800605_28,Barra dos Coqueiros,Sergipe,SE,2019-09-24,2019-11-09,Oleada - Vestígios/Esparsos,-10.9407944444444,-37.0206527777778
2913457,Ilha Quiepe,2913457_3,Igrapiúna,Bahia,BA,2019-11-01,NA,Oleada - Manchas,-13.837,-38.9394583333333
