name,município,data_avist,estado,data_revis,status,latitude,longitude
Praia da Boca da Barra,Tamandaré,2019-11-01,PE,2019-11-04,Oleada - Vestígios/Esparsos,-8.77498055555555,-35.1065638888889
Praia da Enseada dos Corais,Cabo de Santo Agostinho,2019-10-24,PE,2019-11-04,Oleada - Vestígios/Esparsos,-8.31661666666667,-34.9481361111111
Ponta das Ilhotas,Tamandaré,2019-10-18,PE,2019-11-03,Óleo - Não Observado,-8.78363333333333,-35.1040277777778
Maria Farinha,Paulista,2019-09-02,PE,2019-10-31,Óleo - Não Observado,-7.85920277777778,-34.8345666666667
Praia de Dell Chifre,Olinda,2019-09-02,PE,2019-10-27,Óleo - Não Observado,-8.02763055555556,-34.8579611111111
Praia de Gamboa,Ipojuca,2019-09-02,PE,NA,Oleada - Vestígios/Esparsos,-8.47556111111111,-34.9937083333333
Conceição,Paulista,2019-09-02,PE,2019-10-30,Oleada - Vestígios/Esparsos,-7.87654722222222,-34.8308611111111
Praia do Pontal de Maracaípe,Ipojuca,2019-10-28,PE,2019-11-03,Óleo - Não Observado,-8.52775,-35.006625
São José da Coroa Grande,São José da Coroa Grande,2019-09-25,PE,2019-11-03,Oleada - Vestígios/Esparsos,-8.87045555555556,-35.1323777777778
Praia de Gaibu,Cabo de Santo Agostinho,2019-10-24,PE,2019-11-03,Oleada - Vestígios/Esparsos,-8.33524166666667,-34.9491444444444
Praia da Barra da Jangada,Jaboatão dos Guararapes,2019-11-04,PE,2019-11-04,Oleada - Vestígios/Esparsos,-8.22107222222222,-34.923
Praia do Janga,Paulista,2019-09-02,PE,2019-11-04,Óleo - Não Observado,-7.92815555555556,-34.8206444444444
Praia de Muro Alto,Ipojuca,2019-11-04,PE,2019-11-04,Oleada - Vestígios/Esparsos,-8.43485,-34.9782722222222
Praia Ponta de Pedras,Goiana,2019-09-07,PE,2019-11-04,Óleo - Não Observado,-7.63277777777778,-34.8114888888889
Catuama,Goiana,2019-09-07,PE,2019-11-04,Óleo - Não Observado,-7.68190833333333,-34.8344111111111
Praia de Porto de Galinhas,Ipojuca,2019-11-04,PE,2019-11-04,Óleo - Não Observado,-8.50099722222222,-35.0013944444444
Praia do Forte Orange,Ilha de Itamaracá,2019-09-02,PE,2019-11-05,Óleo - Não Observado,-7.81108333333333,-34.8389333333333
Praia da Barra de Sirinhaém,Sirinhaém,2019-10-25,PE,2019-11-04,Óleo - Não Observado,-8.61985277777778,-35.0554166666667
Praia do Paiva,Cabo de Santo Agostinho,2019-09-04,PE,2019-11-03,Oleada - Vestígios/Esparsos,-8.25800555555556,-34.9427138888889
Pau Amarelo,Paulista,2019-09-02,PE,2019-11-05,Óleo - Não Observado,-7.93705,-34.8229972222222
Ilha de Santo Aleixo,Sirinhaém,2019-10-19,PE,2019-10-30,Oleada - Vestígios/Esparsos,-8.61136111111111,-35.0231944444444
Porto de Galinhas,Ipojuca,2019-09-02,PE,2019-10-31,Oleada - Vestígios/Esparsos,-8.51053055555556,-35.0007027777778
Praia de Cambôa,Ipojuca,2019-11-04,PE,2019-11-04,Oleada - Vestígios/Esparsos,-8.48261111111111,-34.9975333333333
Praia de Jaguaribe,Ilha de Itamaracá,2019-10-24,PE,2019-11-05,Óleo - Não Observado,-7.73273333333333,-34.825175
Suape,Cabo de Santo Agostinho,2019-09-02,PE,2019-11-03,Oleada - Vestígios/Esparsos,-8.36040555555556,-34.9586583333333
Piedade,Jaboatão dos Guararapes,2019-09-03,PE,2019-11-02,Óleo - Não Observado,-8.17760833333333,-34.9159527777778
Barra da Jangada,Jaboatão dos Guararapes,2019-10-24,PE,2019-10-31,Óleo - Não Observado,-8.21329444444445,-34.9188055555556
Pontal do Jaguaribe,Ilha de Itamaracá,2019-10-25,PE,2019-10-31,Óleo - Não Observado,-7.72510277777778,-34.8284444444444
Praia de Muro Alto,Ipojuca,2019-10-25,PE,2019-11-02,Óleo - Não Observado,-8.41820277777778,-34.9718111111111
Praia de Quatro Cantos,Ilha de Itamaracá,2019-10-25,PE,2019-10-31,Óleo - Não Observado,-7.74159722222222,-34.8238833333333
Nossa Senhora do Ó,Paulista,2019-10-27,PE,NA,Oleada - Vestígios/Esparsos,-7.89147777777778,-34.8234916666667
Praia do Sossego,Ilha de Itamaracá,2019-10-28,PE,2019-11-05,Óleo - Não Observado,-7.70905277777778,-34.8334555555556
Praia do Porto,Barreiros,2019-10-29,PE,2019-11-01,Oleada - Vestígios/Esparsos,-8.81081944444444,-35.12105
